timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1629563400,Aug 21 2021 - 4:30pm,complete,N/A,Hellas Verona,Sassuolo,Manuel Volpi,1,0.00,0.00,1.77,1.46,2,3,5,1,0,1,"71,90","32,51,77",7,4,2,1,2,0,2,1,1,1,16,20,5,9,11,11,12,12,39,61,1.72,2.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.60,3.45,2.80,1.30,1.87,2.95,5.25,1.71,2.25,Stadio Marc'Antonio Bentegodi (Verona)
1629563400,Aug 21 2021 - 4:30pm,complete,N/A,Inter Milan,Genoa,Valerio Marini,1,0.00,0.00,2.23,0.71,4,0,4,2,2,0,"6,14,74,87","",8,2,1,0,2,0,0,1,1,1,20,12,11,4,9,8,18,7,60,40,2.47,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.32,5.50,11.00,1.26,1.71,2.70,5.00,2.15,1.74,Stadio Giuseppe Meazza (Milano)
1629571500,Aug 21 2021 - 6:45pm,complete,N/A,Empoli,Lazio,Simone Sozza,1,0.00,0.00,0.85,1.29,1,3,4,4,1,3,"4","6,31,41",5,3,2,0,1,0,1,1,1,0,18,9,4,5,14,4,12,10,45,55,1.79,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.75,3.95,1.77,1.26,1.74,2.70,4.75,1.74,2.15,Stadio Carlo Castellani (Empoli)
1629571500,Aug 21 2021 - 6:45pm,complete,N/A,Torino,Atalanta,Daniele Chiffi,1,0.00,0.00,1.85,2.31,1,2,3,1,0,1,"79","6,90'3",5,1,2,0,2,0,0,2,1,1,20,8,8,3,12,5,17,13,48,52,2.29,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,6.00,4.40,1.57,1.25,1.67,2.60,4.40,1.77,2.15,Stadio Olimpico Grande Torino (Torino)
1629649800,Aug 22 2021 - 4:30pm,complete,N/A,Bologna,Salernitana,Antonio Rapuano,1,0.00,0.00,1.54,0.67,3,2,5,0,0,0,"59,74,77","52,70",9,4,4,2,2,1,1,5,2,1,20,10,8,4,12,6,12,13,73,27,2.16,1.15,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.61,4.30,5.75,1.30,1.77,2.90,5.25,1.87,2.00,Stadio Renato Dall'Ara (Bologna)
1629649800,Aug 22 2021 - 4:30pm,complete,N/A,Udinese,Juventus,Ivano Pezzuto,1,0.00,0.00,1.25,1.77,2,2,4,2,0,2,"51,83","3,23",3,3,1,0,3,0,0,1,0,3,13,12,7,5,6,7,13,13,44,56,1.58,1.30,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,8.00,4.65,1.44,1.30,1.80,3.00,5.75,2.10,1.80,Dacia Arena (Udine)
1629657900,Aug 22 2021 - 6:45pm,complete,N/A,Napoli,Venezia,Gianluca Aureliano,1,0.00,0.00,2.00,1.00,2,0,2,0,0,0,"62,72","",2,2,1,1,7,0,1,1,4,3,14,9,5,6,9,3,6,19,56,44,1.54,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.25,6.75,13.00,1.18,1.49,2.15,3.75,1.95,1.91,Stadio Diego Armando Maradona (Napoli)
1629657900,Aug 22 2021 - 6:45pm,complete,N/A,Roma,Fiorentina,Luca Pairetto,1,0.00,0.00,1.79,1.31,3,1,4,1,1,0,"26,64,79","60",4,4,2,1,2,1,2,1,2,1,12,12,8,9,4,3,12,18,42,58,1.58,1.69,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.90,4.40,1.26,1.71,2.70,4.75,1.71,2.20,Stadio Olimpico (Roma)
1629736200,Aug 23 2021 - 4:30pm,complete,N/A,Cagliari,Spezia,Francesco Fourneau,1,0.00,0.00,0.92,1.00,2,2,4,1,0,1,"62,66","7,58",11,4,2,0,3,0,0,2,2,1,21,16,8,7,13,9,17,16,58,42,2.31,1.73,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.80,4.55,1.33,1.91,3.15,6.00,1.87,2.00,Unipol Domus (Cagliari)
1629744300,Aug 23 2021 - 6:45pm,complete,N/A,Sampdoria,AC Milan,Marco Guida,1,0.00,0.00,1.07,2.31,0,1,1,1,0,1,"","9",8,3,3,0,1,0,1,2,0,1,20,14,7,7,13,7,15,13,50,50,2.02,1.75,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,5.25,3.60,1.73,1.32,1.86,2.80,4.95,1.69,2.25,Stadio Comunale Luigi Ferraris (Genova)
